PNummer;Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring_SidenDecember2016;ProcentvisPrisaendring_SidenDecember2016;NominelPrisaendring_SidenJanuar2019;ProcentvisPrisaendring_SidenJanuar2019;Bemærkninger
1001440711;Gauerslund Fjernvarme;7080;450;8969;11739;-679.0;-5,50%;-453.0;-3,70%;
1001772848;Gedsted Varmeværk;9631;563;12031;15494;-506.0;-3,20%;-3200.0;-17,10%;
1000509106;Gelsted Fjernvarmeselskab;5591;713;14125;17846;1131.0;6,80%;0.0;0,00%;
1003451502;Genner-Hellevad-Hovslund Forenede Kraftvarmeværker;6230;650;14650;18590;4073.0;28,10%;4525.0;32,20%;
1003262352;Gentofte Fjernvarme;2820;267;11653;13855;1003.0;7,80%;-163.0;-1,20%;
1008891660;Gilleleje Fjernvarme a.m.b.a.;3250;531;10750;13978;-325.0;-2,30%;0.0;0,00%;
1001770195;Give Fjernvarme Amba;7323;469;8531;11084;3507.0;46,30%;-1131.0;-9,30%;
1000753087;Gjerlev Varmeværk;8983;518;13575;17517;0.0;0,00%;407.0;2,40%;
1001214793;Gjøl Private Kraftvarmeværk A.m.b.a.;9440;700;15500;19545;7466.0;61,80%;4299.0;28,20%;
1003264343;Gladsaxe Kommune, Fjernvarmeforsyningen;2860;267;10680;12732;873.0;7,40%;-869.0;-6,40%;
1001582757;Glamsbjerg-Haarby varmeværk **;5620;463;9250;11921;128.0;1,10%;128.0;1,10%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1016140941;Glostrup Varme A/S;2600;351;7369;9539;-5739.0;-37,60%;122.0;1,30%;
1002068790;Glyngøre Fjernvarmeværk;7870;563;11563;14994;-199.0;-1,30%;1131.0;8,20%;
1001743992;Gram Fjernvarme;6510;788;15375;19879;7807.0;64,70%;-905.0;-4,40%;
1017920967;Grenaa Varmeværk;8500;345;7519;9757;-3258.0;-25,00%;-1213.0;-11,10%;
1017198617;Greve Fjernvarme A.m.b.a.;2670;307;8483;11726;2388.0;25,60%;-343.0;-2,80%;
1001789264;Grindsted, Gev Varme A/S ;7200;250;5938;7400;0.0;0,00%;0.0;0,00%;
1001830261;Græsted Fjernvarme A.m.b.a;3230;525;11463;15284;2263.0;17,40%;634.0;4,30%;
1001252921;Gudenådalens Energiselskab (Bjerringbro);8850;563;13154;14898;2226.0;17,60%;-715.0;-4,60%;
1015628495;Guldborgsund Varme;4800;560;11207;14617;583.0;4,20%;573.0;4,10%;
1003449273;Gylling-Ørting-Falling Kraftvarmeværk;8300;538;11625;14529;-1420.0;-8,90%;-1420.0;-8,90%;
1001519815;Gørding Varmeværk;6690;475;9094;12010;0.0;0,00%;0.0;0,00%;
1003123407;Haderslev Fjernvarme;6100;445;8363;10430;-317.0;-2,90%;0.0;0,00%;
1007842267;Haderup Kraftvarmeværk;7540;556;11813;15118;4721.0;45,40%;679.0;4,70%;
1002257575;Hadsten Varmeværk;8370;350;8813;9898;-640.0;-6,10%;0.0;0,00%;
1002116755;Hadsund Fjernvarmeværk;9560;450;11000;13220;-457.0;-3,30%;0.0;0,00%;
1001392149;Hallund Kraftvarmeværk A.m.b.a.;9700;640;15600;17584;1129.0;6,90%;724.0;4,30%;
1001549704;Hals Fjernvarme;9370;525;10313;13040;226.0;1,80%;0.0;0,00%;
1016115076;Halsnæs Varme A/S;3300;563;10961;14051;226.0;1,60%;779.0;5,90%;
1001088346;Halvrimmen-Arentsminde Kraftv.værk Amba;9460;625;13781;17438;4450.0;34,30%;5581.0;47,10%;
1001822672;Hammel Fjernvarme Amba;8450;419;7531;9379;225.0;2,50%;0.0;0,00%;
1001555454;Hammershøj Fjernvarmeværk;8830;619;11344;14774;679.0;4,80%;1584.0;12,00%;
1001554495;Hanstholm Varmeværk;7730;425;8813;10818;1233.0;12,90%;905.0;9,10%;
1001018897;Harboøre Varmeværk A.m.b.a. ;7673;238;6113;7929;453.0;6,10%;453.0;6,10%;
1001094436;Hashøj Kraftvarmeforsyning A.m.b.a.;4261;950;17336;22654;5430.0;31,50%;7919.0;53,70%;
1002013802;Haslev Fjernvarme Imba;4690;604;12818;16541;-448.0;-2,60%;853.0;5,40%;
1001121158;Havndal Fjernvarme A.m.b.a.;8970;579;12353;15277;0.0;0,00%;0.0;0,00%;
1012117112;Havneby Varmeværk A.m.b.a.;6792;844;16094;20652;505.0;2,50%;0.0;0,00%;
1001812204;Hedensted Fjernvarme;8722;620;11706;14935;0.0;0,00%;0.0;0,00%;
