name,address,latitude,longitude
Rødby Varmeværk,"Grønvej 7B, 4970 Rødby, Denmark",54.694546,11.397323
Rødbyhavn Fjernvarme,"Jøncksvej 1, 4970 Rødby, Denmark",54.660757,11.360223
Rødding Fjernvarme,"Vestermarksvej 2B, 6630 Rødding, Denmark",55.376499,9.058376
Rødkærsbro Fjernvarmeværk,"Brandstrupvej 4A, 8840 Rødkærsbro, Denmark",56.352753,9.503951
Rødovre Kommunale Fjernvarmeforsyning,"Tæbyvej 77, 2610 Rødovre, Denmark",55.685647,12.453278
Rønde Fjernvarme,"Skrejrupvej 9 C, 8410 Rønde, Denmark",56.307039,10.461949
Rønne Varme,"Sandemandsvej 1A, 3700 Rønne, Denmark",55.094886,14.729166
Roslev Fjernvarmeselskab,"Møllebuen 1, 7870 Roslev, Denmark",56.708009,8.981319
Rostrup Kraftvarmeværk,"Kildevej 4, 9510 Arden, Denmark",56.730582,9.930317
Rundhøj Fjernvarme,"Holmevej 202, 8270 Højbjerg, Denmark",56.118092,10.176919
Ry Varmeværk,"Bakkelyvej  3, 8680 Ry, Denmark",56.08341,9.78656
Rye Kraftvarmeværk,"Hjarbækvej 7, 8680 Ry, Denmark",56.530125,9.32051
Ryomgård Fjernvarme,"Frederikslundvej 1, 8550 Ryomgård, Denmark",56.390979,10.508577
Sæby Varmeværk,"Energivej 1, 9300 Sæby, Denmark",57.318891,10.500876
Sakskøbing Fjernvarmeselskab,"Lillemark 25, 4990 Sakskøbing, Denmark",54.802911,11.632048
Saltum Fjernvarmeværk,"Th Jensensvej 5, 9493 Saltum, Denmark",55.950985,11.57651
Sandved Tornemark Kraftvarmeværk,"Brandholtvej 6A, 4262 Sandved, Denmark",55.255489,11.522774
Sdr. Felding Varmeværk,"Bjergevej 33, 7280 Sønder-Felding, Denmark",55.931538,8.781223
Sdr. Herreds Kraftvarmeværker,"Næssundvej 327, 7960 Karby, Denmark",56.743378,8.602843
Sdr. Omme Varmeværk,"Nedergårdsvej 30, 7260 Sdr. Omme, Denmark",55.845851,8.886338
Sig Varmeværk,"Sct. Gertrudsvej 6B, 6800 Varde, Denmark",55.664172,8.573837
Silkeborg Forsyning,"Tietgensvej 3, 8600 Silkeborg, Denmark",56.199565,9.577644
Sindal Varmeforsyning,"Baggesvognsvej 32, 9870 Sindal, Denmark",57.479906,10.195848
SK Forsyning,"Lilleøvej 3, 4220 Korsør, Denmark",55.332409,11.142147
Skærbæk Fjernvarme,"Læssevej 7, 6780 Skærbæk, Denmark",55.158958,8.772457
Skagen Varmeværk,"Ellehammervej 21, 9990 Skagen, Denmark",57.735873,10.575532
Skals Kraftvarmeværk,"Solbakken 1, 8832 Skals, Denmark",56.557605,9.401316
