name,address,latitude,longitude,CVRP
Hovedgaard Fjernvarmeværk,"Frydsvej 18, 8732 Hovedgård, Denmark",55.951366,9.959753,
Hundested Varmeværk,"Håndværkervej 14, 3390 Hundested, Denmark",55.964016,11.882636,1001694623
Hundslund-Oldrup Kraftvarmeværk,"Guldagervej 4C, 8350 Hundslund, Denmark",55.91716,10.056882,1003439395
Hvalpsund Kraftvarme,"Hestbækvej 21, 9640 Farsø, Denmark",56.70239,9.212957,
Hvalsø Kraftvarmeværk,"Åsvejen 12, 4330 Hvalsø, Denmark",55.594925,11.856695,1001847430
Hvidbjerg Fjernvarme,"Håndværkervej 2, 7790 Thyholm, Denmark",56.648284,8.538707,1001573152
Hvide Sande Fjernvarme,"Numitvej 25, 6960 Hvide Sande, Denmark",56.007447,8.126022,1002309201
Hvidebæk Fjernvarmeforsyning,"Hovvej 37A, 4490 Jerslev Sjælland, Denmark",55.614772,11.207792,1002964005
Hvidovre Fjernvarme,"Arnold Nielsens Boulevard 60, 1, 2650 Hvidovre, Denmark",55.6572,12.4736,
Ingstrup Fjernvarme,"Hesteskoen 11, 9480 Løkken, Denmark",57.31315,9.710388,1001514308
Ishøj Varmeværk,"Industrivangen 34, 2635 Ishøj, Denmark",55.605245,12.349965,1029448457
Jægerspris Kraftvarme,"Håndværkervej 9, 3630 Jægerspris, Denmark",55.831676,11.996368,1001441676
Jelling Varmeværk,"Nordkrogen 20 B, 7300 Jelling, Denmark",55.760562,9.437109,1001270473
Jerslev Varmeværk,"Palægade 6, 9740 Jerslev J, Denmark",57.285162,10.093142,1001016250
Jetsmark Energiværk,"Nørregade 81, 9490 Pandrup, Denmark",57.205689,9.674194,1001201570
Jyderup Varme A/S,"Lyngvej 6, 4450 Jyderup, Danmark",55.660009,11.405157,
Kalundborg Varmeforsyning,"Dokhavnsvej 15, 4400 Kalundborg, Denmark",55.667625,11.105031,1014794766
Karup Varmeværk,"Godthåbsvej 2, 7470 Karup J, Denmark",56.0,10.0,1001173049
Kerteminde Forsyning,"Kohaven 12A, 5300 Kerteminde, Denmark",55.457686,10.649766,1015146423
Kibæk Varmeværk,"Energivej 6, 6933 Kibæk, Denmark",56.030244,8.860026,1001780176
Kjellerup Fjernvarme,"Industriparken 10, 8620 Kjellerup, Denmark",56.279339,9.420469,1002110216
Klejtrup Kraftvarmeværk,"Holger Sørensens Vej 1, 9500 Hobro, Denmark",56.5901,9.628802,
Køge Fjernvarme,"Nørre Centervej 64, 4600 Køge, Denmark",55.480044,12.177502,
Kolind Fjernvarmeværk,"Nyhåbsvej 7, 8560 Kolind, Denmark",56.351934,10.57381,1001505682
Kongerslev Fjernvarmeværk,"Fælledvej 2, 9293 Kongerslev, Denmark",56.884818,10.11453,1001961555
Kværndrup Fjernvarme,"Bøjdenvej 22B, 5772 Kværndrup, Denmark",55.1775,10.5255,1001567347
Læsø Forsyning,"Doktorvejen 2, 9940 Læsø, Denmark",57.256284,10.999404,1016185295
Langå Varmeværk,"Borgergade 6, 8870 Langå, Denmark",56.391849,9.896098,
Laurbjerg Kraftvarmeværk,"Hvidtjørnevej 25, 8870 Langå, Denmark",56.35745,9.921348,1001032862
Lem Varmeværk,"Askevej 5, 6940 Lem St, Denmark",56.022976,8.378348,1000974476
Lemvig Varmeværk,"Vestavej 2, 7620 Lemvig, Denmark",56.535315,8.302848,1001749941
Lendum Kraftvarmeværk,"Tårsvej 37B, 9870 Sindal, Denmark",57.408872,10.292988,1001231422
Lillerød Varmecentral,"Solvang 27, 3450 Allerød, Denmark",55.881576,12.34948,
Løgstør Fjernvarmeværk,"Blekingevej 8, 9670 Løgstør, Denmark",56.959383,9.263223,1001510235
Løgstrup Varmeværk,"Kølsenvej 14A, 8831 Løgstrup, Denmark",56.513313,9.340247,1001504819
Løgten-Skødstrup Fjernvarme,"Bakketoften 7, 8541 Skødstrup, Denmark",56.255957,10.301506,1001552091
Løgumkloster Fjernvarme,"Søndermarksvej 1, 6240 Løgumkloster, Denmark",55.052665,8.957691,1002227340
Lohals Varmeforsyning,"Bræmlevænget 3, 5953 Tranekær, Denmark",55.126950,10.907330,1001191665
Løjt Kirkeby Fjernvarmeselskab,"Skovbyvej 4, 6200 Aabenraa, Denmark",55.083199,9.464455,1000441441
Løkken Varmeværk,"Industrivej 18, 9480 Løkken, Denmark",57.37129,9.727605,1002195238
