forsyid,aar,fv_net_navn,vaerk_postnr,vaerk_postdistrikt,vaerk_navn,vaerk_id,vaerk_kommune,fv_net,selskab_id,cvr,selskab_navn,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
39042010,2022,Aulum Fjernvarme,7490,Aulum,Aulum Fjernvarme A.m.b.a. (Kulvej 5),5,3285,159,5,39042010,AULUM FJERNVARME AMBA,44.64,5.1,41.75,121.5213264,112.69584,108.023184,7.972812000000001,7.902,0.0,0.0,0.0,0.0,0.0,0.0,20.8396584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5372,0.0,37.963656,34.180812
25473914,2021,Auning Fjernvarme,8963,Auning,Auning Varmeværk,46,707,227,41,25473914,AUNING VARMEVÆRK A M B A,12.0,0.0,12.0,161.646,147.5136,145.6776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25473914,2022,Auning Fjernvarme,8963,Auning,Auning Varmeværk,46,1414,227,41,25473914,AUNING VARMEVÆRK A M B A,17.0,0.0,17.0,143.2165,138.76919999999998,138.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.2165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25473914,2023,Auning Fjernvarme,8963,Auning,Auning Varmeværk,46,2121,227,41,25473914,AUNING VARMEVÆRK A M B A,20.15,0.0,20.15,159.616,155.15784000000002,154.66031999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27827853,2023,Ballen-Brundby-Kolby-Permelill,8305,Samsø,Ballen-Brundby Fjernvarme,1835,741,447,1768,27827853,Ballen-Brundby Fjernvarme Amba,3.8,0.0,3.6,23.5382725,21.15,21.15,0.0,0.0,0.0,0.0,0.0,0.0627725,0.0,0.0,0.0,0.0,0.0,23.4755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27827853,2021,Ballen-Brundby-Kolby-Permelill,8305,Samsø,Ballen-Brundby Fjernvarme,1835,741,447,1768,27827853,Ballen-Brundby Fjernvarme Amba,3.8,0.0,3.6,25.3406921,22.7628,22.7628,0.0,0.0,0.0,0.0,0.0,0.6036920999999998,0.0,0.0,0.0,0.0,0.0,24.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27827853,2022,Ballen-Brundby-Kolby-Permelill,8305,Samsø,Ballen-Brundby Fjernvarme,1835,741,447,1768,27827853,Ballen-Brundby Fjernvarme Amba,3.8,0.0,3.6,23.2820997,19.998,19.998,0.0,0.0,0.0,0.0,0.0,0.1545997,0.0,0.0,0.0,0.0,0.0,23.1275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27173012,2022,Balling-Rødding Fjernvarmenet,7860,Spøttrup,Industrivej 17,2379,2337,256,42,27173012,Balling-Rødding Varmeværk A.m.b.a.,20.61,0.0,21.456,75.82167,81.4266,81.4266,0.0,0.0,0.0,0.0,0.0,1.2852,0.0,0.0,0.0,0.0,0.0,0.0,52.89507,0.0,0.0,0.0,0.0,21.6414,0.0,0.0,0.0
27173012,2023,Balling-Rødding Fjernvarmenet,7860,Spøttrup,Industrivej 17,2379,2337,256,42,27173012,Balling-Rødding Varmeværk A.m.b.a.,20.61,0.0,21.456,78.70084,82.25207999999999,82.25207999999999,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,57.64516,0.0,0.0,0.0,0.0,19.07568,0.0,0.0,0.0
27173012,2021,Balling-Rødding Fjernvarmenet,7860,Spøttrup,Industrivej 17,2379,2337,256,42,27173012,Balling-Rødding Varmeværk A.m.b.a.,20.61,0.0,21.456,82.32605889999999,89.55864000000001,89.55864000000001,0.0,0.0,0.0,0.0,0.0,1.79208,0.0,0.0,0.0,0.0,0.0,0.0,62.10557889999999,0.0,0.0,0.0,0.0,18.4284,0.0,0.0,0.0
