name,forsyid,CVRP,address,latitude,longitude
Ørum Varmeværk,12868014,1000459320,"Bøgevej 5-7, 8830 Tjele, Denmark",56.4828175,9.6273436
Østbirk Varmeværk,15567317,1000946049,"Industrivej 9, 8752 Østbirk, Denmark",55.967815,9.74289
Øster Hurup Kraftvarmeværk,19493288,3333344444,"Snedkervej 6, 9560 Hadsund, Denmark",56.803528,10.266041
Oue Kraftvarmeværk,17629085,1001327150,"Mælkevejen 12, 9500 Hobro, Denmark",56.694893,9.979135
Padborg Fjernvarme,22725513,1001550440,"Haraldsdalsvej 11B, 6330 Padborg, Denmark",54.8266,9.3625
Præstø Fjernvarme,67247817,1002247727,"Værkstedsvej 3, 4720 Præstø, Denmark",55.114134,12.042337
Ræhr Fjernvarme,16340642,1001082841,"Molevej 13, 7730 Hanstholm, Denmark",57.114648,8.616342
Rask Mølle Varmeværk,18211211,1002992225,"Vandværksvej 4, 8763 Rask Mølle, Denmark",55.873145,9.611987
Ribe Fjernvarme,57205628,1002058838,"Mosevej 100, 6760 Ribe, Denmark",55.34218,8.79026
Ringkøbing Fjernvarmeværk,37560219,1003054009,"Isagervej 41, 6950 Ringkøbing",56.090141,8.277016
Ringsted Forsyning,29777373,1017780383,"Bragesvej 18, 4100 Ringsted, Denmark",55.429278,11.798537
Rise Fjernvarme,25452283,1007719341,"St. Rise Landevej 2, 5970 Ærøskøbing, Denmark",54.85253,10.408678
Rødby Varmeværk,24591328,1001573462,"Grønvej 7B, 4970 Rødby, Denmark",54.694546,11.397323
Rødbyhavn Fjernvarme,16783013,1001159796,"Jøncksvej 1, 4970 Rødby, Denmark",54.660757,11.360223
Rødding Fjernvarme,67037111,1002243368,"Vestermarksvej 2B, 6630 Rødding, Denmark",55.376499,9.058376
Rødkærsbro Fjernvarmeværk,18211912,1001454760,"Brandstrupvej 4A, 8840 Rødkærsbro, Denmark",56.352753,9.503951
Rønne Varme,32945880,1016095709,"Sandemandsvej 1A, 3700 Rønne, Denmark",55.094886,14.729166
Roslev Fjernvarmeselskab,41160128,1001806990,"Møllebuen 1, 7870 Roslev, Denmark",56.708009,8.981319
Rostrup Kraftvarmeværk,17926195,1001391111,"Kildevej 4, 9510 Arden, Denmark",56.730582,9.930317
Rye Kraftvarmeværk,18807483,1003568649,"Hjarbækvej 7, 8680 Ry, Denmark",56.530125,9.32051
Sæby Varmeværk,64429418,1002189756,"Energivej 1, 9300 Sæby, Denmark",57.318891,10.500876
Sakskøbing Fjernvarmeselskab,19739112,1002997847,"Lillemark 25, 4990 Sakskøbing, Denmark",54.802911,11.632048
Saltum Fjernvarmeværk,20928719,1001529390,"Ths. Jensensvej 5, 9493 Saltum",57.273618,9.69952
Sdr. Omme Varmeværk,24989712,1001577420,"Nedergårdsvej 30, 7260 Sdr. Omme, Denmark",55.845851,8.886338
Sig Varmeværk,18693518,1001503654,"Sct. Gertrudsvej 6B, 6800 Varde, Denmark",55.664172,8.573837
Silkeborg Forsyning,31877733,1014963991,"Tietgensvej 3, 8600 Silkeborg, Denmark",56.199565,9.577644
Sindal Varmeforsyning,59426915,1002097944,"Baggesvognsvej 32, 9870 Sindal, Denmark",57.479906,10.195848
Skærbæk Fjernvarme,30990714,1001669670,"Læssevej 7, 6780 Skærbæk, Denmark",55.158958,8.772457
Skagen Varmeværk,33507410,1018054791,"Ellehammervej 21, 9990 Skagen, Denmark",57.735873,10.575532
Skals Kraftvarmeværk,11278612,1000210678,"Solbakken 1, 8832 Skals, Denmark",56.557605,9.401316
Skanderborg-Hørning Fjernvarme,37949019,1001761239,"Danmarksvej 15, 8660 Skanderborg, Denmark",56.05042,9.943567
Skårup Fjernvarme,26832217,1001604427,"Traverskiftet 1, 5881 Skårup Fyn, Denmark",55.091495,10.692962
Skive Fjernvarme,68326214,1003169877,"Marius Jensens Vej 3, 7800 Skive, Denmark",56.561919,9.031235
Skjern Fjernvarme,46076915,1003086479,"Kongevej 41, 6900 Skjern, Denmark",55.944544,8.494215
Skørping Varmeværk,18496607,1003458829,"Skørping Nord 11, 9520 Skørping, Denmark",56.858671,9.890022
Skovlund Varmeværk,14454918,1000746895,"Nørremarken 20, 6823 Ansager, Denmark",55.741312,8.70286
Skuldelev Energiselskab,19153908,1003701860,"Egevej 27, 4050 Skibby, Denmark",55.775786,12.017855
Slagslunde Fjernvarme,34937257,1018666886,"Blomstervej 17, 3660 Stenløse, Denmark",55.798556,12.217357
Smørum Kraftvarme,21445711,1001535455,"Skebjergvej 25, 2765 Smørum, Denmark",55.729495,12.306893
Solrød Fjernvarme,23104113,1001556073,"Lerbækvej 17, 2680 Solrød Strand, Denmark",55.540331,12.208878
Stege Fjernvarme,56353712,1002046635,"Elmevej 1 D, 4780 Stege",54.998162,12.284694
Stenstrup Fjernvarme,64289713,1002186897,"Hostrupvej 28, 5771 Stenstrup, Denmark",55.130667,10.502042
Stoholm Fjernvarmeværk,68738016,1002279681,"Industrivej 16, 7850 Stoholm Jylland, Denmark",56.47916,9.154259
Støvring Kraftvarmeværk,16276111,1001070704,"Hjedsbækvej 2, 9530 Støvring, Denmark",56.887721,9.818962
Strandby Varmeværk,42615919,1001828049,"Ravmarken 8, 9970 Strandby, Denmark",57.4874,10.488259
Struer Energi,26203562,1008632274,"Jyllandsgade 1, 7600 Struer, Denmark",56.490679,8.601625
