Unique Names in data,Names of plants
Thyborøn Fjernvarme,Thyborøn Fjernvarme
Tim Fjernvarme,Tim Kraftvarmeværk
Tirstrup,Trustrup-Lyngby Varmeværk
Tistrup Fjernvarme,Tistrup Varmeværk
Toftlund Fjernvarme,Toftlund Fjernvarme
Tommerup Fjernvarme I/S (fusion af Tommerup by Fjernvarme og Tommerup Stationsby Fjernvarme),Tommerup Bys Fjernvarmeforsyning
Tranebjerg Fjernvarme,Tommerup St. Varmeforsyning
An/S Tranum Kraftvarmeværk,Tranbjerg Varmeværk
Troldhede Fjernvarme,Troldhede Kraftvarmeværk
Trustrup-Lyngby,Trustrup-Lyngby Varmeværk
Tversted Fjernvarme,Tversted Kraftvarmeværk
Tårs Fjernvarme,Taars Varmeværk
Tønder Fjernvarme,Tønder Fjernvarme
Tørring Fjernvarme,Tørring Kraftvarmeværk
Ulbjerg Fjernvarme,Ulbjerg Kraftvarme
Uldum Fjernvarme,Uldum Varmeværk
Ulfborg Fjernvarme,Ulfborg Fjernvarme
Ullerslev Fjernvarme,Nfs Varme
Ulsted Fjernvarme,Ulsted Varmeværk
Vaarst-Fjellerad Fjernvarme,Aalborg Forsyning
Vegger Fjernvarme,Energi Vegger
Vejby-Tisvilde,Vejby-Tisvilde Fjernvarme
Vejen Fjernvarme,Vejen Varmeværk
Vemb Fjernvarme,Vemb Varmeværk
Vesløs Fjernvarme,Vesløs Fjernvarme
Vester Hjermitslev Fjernvarme,Vester Hjermitslev Varmeværk
Vestervig Fjernvarme,Vestervig Fjernvarme
Viborg Fjernvarme,Viborg Varme
Videbæk Fjernvarme,Videbæk Energiforsyning
Vig,Odsherred Forsyning
Vildbjerg Fjernvarme,Vildbjerg Tekniske Værker
Vinderup - Sevel Fjernvarme,Vinderup Varmeværk
Vivild Fjernvarme,Vivild Varmeværk
Voersaa Fjernvarme,Voerså Kraftvarmeværk
Vojens Fjernvarme,Vojens Fjernvarme
Voldby,Hammel Fjernvarme
Vordingborg Fjernvarme,Vordingborg Fjernvarme
Vorupør Fjernvarme,Vorupør Kraftvarmeværk
Vrå Fjernvarme,Vrå Varmeværk
Væggerløse Fjernvarme,Sydfalster Varmeværk
Værum-Ørum Fjernvarme,Værum - Ørum Kraftvarmeværk
Århus Fjernvarme,Kredsløb
Ærøskøbing Fjernvarme,Ærøskøbing Fjernvarme
Ø.Hurup,Øster Hurup Kraftvarmeværk
Ølgod Fjernvarme,Ølgod Tekniske Værker
Ørding Fjernvarme,Sdr. Herreds Kraftvarmeværker
Ørnhøj-Grønbjerg Fjernvarme,Ørnhøj-Grønbjerg Kraftvarme
Ørslev-Terslev Fjernvarme,E.On Ørslev-Terslev Kraftvarmeanlæg
Ørsted Fjernvarme,Ørsted Fjernvarmeværk
Ørum Fjernvarme (Nørre Djurs),Ørum Varmeværk
Ørum Fjernvarme (Tjele),Ørum Varmeværk
Østbirk Fjernvarme,Østbirk Varmeværk
Øster Assels Fjernvarme,Sdr. Herreds Kraftvarmeværker
Øster Brønderslev Fjernvarme,Øster Brønderslev Fjernvarmeselskab
Øster Hornum Fjernvarme,Øster Hornum Varmeværk
Østerild Fjernvarme,Østerild Fjernvarme
Østerlars-Østermarie-Gudhjem Fjernvarme,Bornholms Energi & Forsyning
TREFOR VARME A/S,Trefor Varme
Tranum Fjernvarme,Tranum Kraftvarmeværk
Snertinge Særslev Føllenslev,Snertinge-Særslev-Føllenslev Energiselskab
Slangerup Fjernvarme,E.On Varme Danmark
Højby Svinninge Nr.Asmindrup,Odsherred Forsyning
Høgild Fjernvarme,Verdo Varme Herning
Hyllinge,Sandved Tornemark Kraftvarmeværk
Sandved Tornemark Kraftvarmeværk,Genner-Hellevad-Hovslund
Haunstrup Fjernvarme,Verdo Varme Herning
Gl. Rye,Rye Kraftvarmeværk
Gjerrild,Trustrup-Lyngby Varmeværk
Frederiks Fjernvarme,Frederiks Varmeværk
Fasterholt Fjernvarme,Verdo Varme Herning
Farstrup-Kølby Fjernvarme,Aalborg Forsyning
DTU-Holte-Nærum Fjernvarme (inkl. Øverød Teknikerbyen Skodsborg),Holte Fjernvarme
Balle Hoed og Glatved,Nrgi Lokalvarme
Hovslund Fjernvarme,Genner-Hellevad-Hovslund
Hodsager Fjernvarme,Verdo Varme Herning
Nykøbing Sjælland Fjernvarme,Nykøbing Sj. Varmeværk
Gølstrup-Hundelev-Vittrup,Løkkensvejens Kraftvarmeværk
Kettinge,Refa Kettinge Forsyning
Ulstrup Fjernvarme,Ulstrup Kraftvarmeværk
Mesballe,Mesballe-Tirstrup-Rosmus-Balle
Tirstrup,Mesballe-Tirstrup-Rosmus-Balle
Rosmus,Mesballe-Tirstrup-Rosmus-Balle
Balle,Mesballe-Tirstrup-Rosmus-Balle
Nordby-Mårup,Nordby-Mårup Varmeværk
