name,address
Sydlangeland Fjernvarme,"Østerskovvej 2B, 5932 Humble, Denmark"
Taars Varmeværk,"Damhusvej 27, 9830 Tårs, Denmark"
Tarm Varmeværk,"Skolegade 23, 6880 Tarm, Denmark"
Tårnby Forsyning,"Gemmas Alle 39, 2770 Kastrup, Denmark"
Terndrup Fjernvarme,"Industriparken 30, 9575 Terndrup, Denmark"
Test varmeværk,"Torskekaj 1, 6700 Esbjerg, Denmark"
Thisted Varmeforsyning,"Ringvej 26, 7700 Thisted, Denmark"
Thorsager Fjernvarmeværk,"Nørregade 26, 8410 Rønde, Denmark"
Thorshøj Kraftvarmeværk,"Kobbervænget 4, 9750 Øster-Vrå, Denmark"
Thorsminde Varmeværk,"Havnevej 11, 6990 Ulfborg, Denmark"
Thorsø Fjernvarmeværk,"Thorsølundvej 6, 8881 Thorsø, Denmark"
Thyborøn Fjernvarme,"Ærøvej 83, 7680 Thyborøn Havn, Denmark"
Tim Kraftvarmeværk,"Høbrovej 9F, 6980 Tim, Denmark"
Tistrup Varmeværk,"Kastanievej 1, 6862 Tistrup, Denmark"
Toftlund Fjernvarme,"Østerdalen 3, 6520 Toftlund, Denmark"
Tommerup Bys Fjernvarmeforsyning,"Stadionvænget 6, 5690 Tommerup, Denmark"
Tommerup St. Varmeforsyning,"Bannervej 22, 5690 Tommerup, Denmark"
Tønder Fjernvarme,"Østergade 83, 6270 Tønder, Denmark"
Tørring Kraftvarmeværk,"Bygade 5A, 7160 Tørring, Denmark"
Tranbjerg Varmeværk,"Jegstrupvænget 630, 8310 Tranbjerg J, Denmark"
Tranum Kraftvarmeværk,"Uglevej 1, 9460 Brovst, Denmark"
TREFOR Varme,"Kokbjerg 30, 6000 Kolding, Denmark"
Troldhede Kraftvarmeværk,"Aakjærsvej 24B, 6920 Videbæk, Denmark"
Trustrup-Lyngby Varmeværk,"Tværvej 11, 8570 Trustrup, Denmark"
Tversted Kraftvarmeværk,"Løgtenvej 16, 9881 Bindslev, Denmark"
Uldum Varmeværk,"Industrisvinget 9, 7171 Uldum, Denmark"
Ulfborg Fjernvarme,"Sportsvej 2, 6990 Ulfborg, Denmark"
Ulsted Varmeværk,"Teglgårdsvej 10, 9370 Hals, Denmark"
V. Hjermitslev Varmeværk,"Thomas P Hejlesvej 3V, 9700 Brønderslev, Denmark"
Værløse Varmeværk,"Klostergårdsvej 59, 3500 Værløse, Denmark"
Værum - Ørum Kraftvarmeværk,"c/o Borgergade 6, 8870 Langå, Denmark"
Vallensbæk Fjernvarme NORD,"Horsbred 201, 2625 Vallensbæk, Denmark"
Vallensbæk Fjernvarme SYD,"Delta Park 11, 2665 Vallensbæk Strand, Denmark"
Vamdrup Fjernvarme,"Nygade 4, 6580 Vamdrup, Denmark"
Veddum Skelund Visborg Kraftvarmeværk,"Pejtervej 14, 9560 Hadsund, Denmark"
